Guess #, Correct Guesses Total
13, 1
50, 2
55, 3
63, 4
87, 5
88, 6
114, 7
127, 8
176, 9
199, 10
218, 11
219, 12
228, 13
240, 14
254, 15
283, 16
324, 17
345, 18
367, 19
370, 20
399, 21
436, 22
498, 23
504, 24
513, 25
525, 26
546, 27
559, 28
568, 29
570, 30
592, 31
603, 32
620, 33
640, 34
654, 35
665, 36
672, 37
717, 38
733, 39
743, 40
776, 41
801, 42
814, 43
817, 44
853, 45
864, 46
896, 47
913, 48
932, 49
936, 50
937, 51
976, 52
983, 53
997, 54
1019, 55
1037, 56
1050, 57
1080, 58
1084, 59
1119, 60
1128, 61
1147, 62
1184, 63
1199, 64
1209, 65
1252, 66
1296, 67
1334, 68
1355, 69
1370, 70
1375, 71
1404, 72
1425, 73
1442, 74
1492, 75
1495, 76
1502, 77
1503, 78
1524, 79
1576, 80
1605, 81
1609, 82
1625, 83
1641, 84
1676, 85
1678, 86
1682, 87
1689, 88
1698, 89
1730, 90
1743, 91
1744, 92
1757, 93
1822, 94
1828, 95
1839, 96
1849, 97
1864, 98
1884, 99
1892, 100
1905, 101
1906, 102
1927, 103
1967, 104
1968, 105
1986, 106
2006, 107
2089, 108
2108, 109
2124, 110
2151, 111
2159, 112
2194, 113
2221, 114
2232, 115
2254, 116
2261, 117
2274, 118
2275, 119
2283, 120
2285, 121
2287, 122
2295, 123
2310, 124
2318, 125
2341, 126
2430, 127
2431, 128
2471, 129
2491, 130
2501, 131
2509, 132
2526, 133
2536, 134
2539, 135
2546, 136
2556, 137
2578, 138
2581, 139
2590, 140
2608, 141
2625, 142
2639, 143
2651, 144
2668, 145
2681, 146
2683, 147
2713, 148
2722, 149
2725, 150
2777, 151
2804, 152
2809, 153
2833, 154
2846, 155
2855, 156
2868, 157
2869, 158
2879, 159
2911, 160
2936, 161
2951, 162
2953, 163
2983, 164
2997, 165
3020, 166
3064, 167
3073, 168
3075, 169
3085, 170
3100, 171
3112, 172
3148, 173
3190, 174
3226, 175
3230, 176
3231, 177
3253, 178
3271, 179
3273, 180
3298, 181
3311, 182
3332, 183
3339, 184
3341, 185
3383, 186
3399, 187
3422, 188
3463, 189
3479, 190
3486, 191
3489, 192
3506, 193
3537, 194
3548, 195
3549, 196
3554, 197
3555, 198
3562, 199
3571, 200
3576, 201
3589, 202
3594, 203
3617, 204
3646, 205
3675, 206
3678, 207
3679, 208
3680, 209
3688, 210
3694, 211
3709, 212
3778, 213
3822, 214
3832, 215
3834, 216
3843, 217
3849, 218
3864, 219
3914, 220
3918, 221
3922, 222
3933, 223
3969, 224
3999, 225
4013, 226
4016, 227
4040, 228
4069, 229
4079, 230
4123, 231
4131, 232
4139, 233
4154, 234
4158, 235
4161, 236
4164, 237
4186, 238
4208, 239
4221, 240
4242, 241
4250, 242
4334, 243
4355, 244
4376, 245
4379, 246
4421, 247
4422, 248
4430, 249
4451, 250
4465, 251
4485, 252
4500, 253
4531, 254
4596, 255
4627, 256
4645, 257
4664, 258
4674, 259
4678, 260
4682, 261
4686, 262
4689, 263
4758, 264
4761, 265
4765, 266
4787, 267
4791, 268
4802, 269
4827, 270
4916, 271
4945, 272
4948, 273
4952, 274
4973, 275
4995, 276
5002, 277
5019, 278
5021, 279
5040, 280
5061, 281
5149, 282
5178, 283
5185, 284
5205, 285
5216, 286
5236, 287
5263, 288
5272, 289
5288, 290
5345, 291
5375, 292
5438, 293
5439, 294
5442, 295
5482, 296
5535, 297
5553, 298
5576, 299
5578, 300
5583, 301
5585, 302
5622, 303
5628, 304
5634, 305
5683, 306
5688, 307
5696, 308
5754, 309
5794, 310
5802, 311
5835, 312
5844, 313
5853, 314
5893, 315
5898, 316
5921, 317
5949, 318
5954, 319
5971, 320
6002, 321
6003, 322
6024, 323
6070, 324
6077, 325
6113, 326
6121, 327
6125, 328
6131, 329
6139, 330
6146, 331
6173, 332
6184, 333
6192, 334
6239, 335
6258, 336
6268, 337
6325, 338
6350, 339
6355, 340
6380, 341
6399, 342
6418, 343
6440, 344
6450, 345
6484, 346
6500, 347
6521, 348
6547, 349
6562, 350
6664, 351
6666, 352
6680, 353
6681, 354
6709, 355
6738, 356
6744, 357
6776, 358
6777, 359
6783, 360
6793, 361
6818, 362
6821, 363
6827, 364
6832, 365
6865, 366
6886, 367
6889, 368
6898, 369
6906, 370
6927, 371
6963, 372
6966, 373
6985, 374
6988, 375
7029, 376
7043, 377
7096, 378
7106, 379
7112, 380
7117, 381
7118, 382
7120, 383
7150, 384
7198, 385
7215, 386
7219, 387
7222, 388
7240, 389
7244, 390
7247, 391
7251, 392
7265, 393
7285, 394
7303, 395
7308, 396
7337, 397
7376, 398
7425, 399
7435, 400
7461, 401
7469, 402
7491, 403
7497, 404
7540, 405
7556, 406
7565, 407
7584, 408
7585, 409
7587, 410
7596, 411
7609, 412
7610, 413
7672, 414
7678, 415
7717, 416
7756, 417
7757, 418
7774, 419
7805, 420
7866, 421
7872, 422
7882, 423
7892, 424
7909, 425
7912, 426
7925, 427
7940, 428
7949, 429
7958, 430
8006, 431
8014, 432
8022, 433
8069, 434
8086, 435
8091, 436
8132, 437
8145, 438
8147, 439
8154, 440
8166, 441
8175, 442
8190, 443
8194, 444
8198, 445
8209, 446
8215, 447
8261, 448
8269, 449
8319, 450
8340, 451
8373, 452
8384, 453
8385, 454
8393, 455
8404, 456
8411, 457
8416, 458
8420, 459
8479, 460
8510, 461
8518, 462
8539, 463
8553, 464
8562, 465
8563, 466
8607, 467
8616, 468
8622, 469
8626, 470
8627, 471
8628, 472
8650, 473
8709, 474
8731, 475
8763, 476
8823, 477
8870, 478
8880, 479
8899, 480
8914, 481
8929, 482
8934, 483
8956, 484
8963, 485
8972, 486
9000, 487
9008, 488
9080, 489
9082, 490
9089, 491
9098, 492
9099, 493
9125, 494
9147, 495
9174, 496
9190, 497
9209, 498
9220, 499
9236, 500
9239, 501
9246, 502
9259, 503
9271, 504
9279, 505
9299, 506
9321, 507
9331, 508
9335, 509
9339, 510
9380, 511
9429, 512
9443, 513
9455, 514
9465, 515
9544, 516
9578, 517
9593, 518
9606, 519
9609, 520
9614, 521
9688, 522
9695, 523
9714, 524
9742, 525
9767, 526
9783, 527
9795, 528
9803, 529
9836, 530
9844, 531
9845, 532
9859, 533
9887, 534
9897, 535
9927, 536
9933, 537
9934, 538
9954, 539
9957, 540
9967, 541
9971, 542
9995, 543
10006, 544
10009, 545
10039, 546
10048, 547
10069, 548
10070, 549
10078, 550
10080, 551
10089, 552
10110, 553
10111, 554
10130, 555
10134, 556
10158, 557
10200, 558
10260, 559
10286, 560
10322, 561
10323, 562
10366, 563
10367, 564
10369, 565
10392, 566
10395, 567
10412, 568
10433, 569
10435, 570
10511, 571
10540, 572
10548, 573
10552, 574
10568, 575
10574, 576
10611, 577
10643, 578
10665, 579
10704, 580
10707, 581
10727, 582
10730, 583
10769, 584
10772, 585
10793, 586
10798, 587
10811, 588
10831, 589
10869, 590
10883, 591
10938, 592
10997, 593
11019, 594
11024, 595
11031, 596
11040, 597
11081, 598
11099, 599
11128, 600
11144, 601
11158, 602
11165, 603
11208, 604
11284, 605
11313, 606
11344, 607
11365, 608
11399, 609
11402, 610
11419, 611
11429, 612
11436, 613
11441, 614
11452, 615
11463, 616
11469, 617
11488, 618
11505, 619
11523, 620
11544, 621
11554, 622
11579, 623
11582, 624
11585, 625
11608, 626
11743, 627
11766, 628
11774, 629
11775, 630
11780, 631
11789, 632
11791, 633
11832, 634
11855, 635
11862, 636
11939, 637
11943, 638
11965, 639
11969, 640
11983, 641
12000, 642
12022, 643
12085, 644
12105, 645
12149, 646
12158, 647
12204, 648
12250, 649
12269, 650
12335, 651
12336, 652
12358, 653
12368, 654
12378, 655
12383, 656
12417, 657
12462, 658
12519, 659
12531, 660
12597, 661
12602, 662
12605, 663
12624, 664
12650, 665
12674, 666
12698, 667
12704, 668
12709, 669
12725, 670
12809, 671
12851, 672
12855, 673
12860, 674
12877, 675
12892, 676
12914, 677
12952, 678
12957, 679
12981, 680
12994, 681
13002, 682
13012, 683
13016, 684
13020, 685
13033, 686
13051, 687
13052, 688
13069, 689
13083, 690
13086, 691
13107, 692
13108, 693
13141, 694
13146, 695
13147, 696
13170, 697
13179, 698
13191, 699
13259, 700
13287, 701
13294, 702
13311, 703
13355, 704
13374, 705
13384, 706
13397, 707
13410, 708
13475, 709
13481, 710
13502, 711
13543, 712
13547, 713
13552, 714
13576, 715
13583, 716
13586, 717
13592, 718
13595, 719
13610, 720
13638, 721
13652, 722
13674, 723
13677, 724
13689, 725
13705, 726
13710, 727
13714, 728
13721, 729
13725, 730
13753, 731
13756, 732
13760, 733
13773, 734
13778, 735
13800, 736
13822, 737
13843, 738
13864, 739
13880, 740
13886, 741
13903, 742
13926, 743
14005, 744
14010, 745
14011, 746
14051, 747
14072, 748
14130, 749
14131, 750
14153, 751
14154, 752
14156, 753
14176, 754
14187, 755
14220, 756
14239, 757
14267, 758
14332, 759
14340, 760
14343, 761
14352, 762
14364, 763
14383, 764
14384, 765
14398, 766
14405, 767
14425, 768
14428, 769
14432, 770
14435, 771
14451, 772
14474, 773
14515, 774
14535, 775
14554, 776
14577, 777
14617, 778
14624, 779
14633, 780
14636, 781
14640, 782
14641, 783
14652, 784
14666, 785
14681, 786
14684, 787
14693, 788
14709, 789
14710, 790
14711, 791
14729, 792
14751, 793
14772, 794
14823, 795
14832, 796
14865, 797
14886, 798
14887, 799
14905, 800
14910, 801
14943, 802
14949, 803
14982, 804
14987, 805
14993, 806
14994, 807
15011, 808
15035, 809
15115, 810
15157, 811
15169, 812
15175, 813
15201, 814
15202, 815
15223, 816
15243, 817
15247, 818
15262, 819
15264, 820
15283, 821
15307, 822
15311, 823
15314, 824
15319, 825
15327, 826
15333, 827
15359, 828
15390, 829
15409, 830
15461, 831
15466, 832
15468, 833
15473, 834
15491, 835
15515, 836
15532, 837
15535, 838
15541, 839
15577, 840
15601, 841
15612, 842
15613, 843
15614, 844
15624, 845
15665, 846
15670, 847
15702, 848
15708, 849
15712, 850
15728, 851
15782, 852
15783, 853
15785, 854
15810, 855
15814, 856
15818, 857
15845, 858
15865, 859
15866, 860
15881, 861
15907, 862
15914, 863
15923, 864
15959, 865
15969, 866
15970, 867
15998, 868
16011, 869
16031, 870
16038, 871
16075, 872
16081, 873
16126, 874
16134, 875
16139, 876
16140, 877
16145, 878
16147, 879
16184, 880
16205, 881
16213, 882
16227, 883
16228, 884
16245, 885
16290, 886
16312, 887
16335, 888
16356, 889
16366, 890
16373, 891
16397, 892
16400, 893
16403, 894
16411, 895
16413, 896
16441, 897
16442, 898
16465, 899
16480, 900
16506, 901
16528, 902
16540, 903
16542, 904
16550, 905
16572, 906
16592, 907
16636, 908
16658, 909
16737, 910
16744, 911
16763, 912
16765, 913
16766, 914
16786, 915
16842, 916
16853, 917
16869, 918
16879, 919
16895, 920
16909, 921
16917, 922
16918, 923
16960, 924
17024, 925
17040, 926
17049, 927
17061, 928
17064, 929
17073, 930
17106, 931
17194, 932
17209, 933
17227, 934
17249, 935
17293, 936
17295, 937
17317, 938
17331, 939
17395, 940
17418, 941
17436, 942
17458, 943
17506, 944
17519, 945
17541, 946
17583, 947
17619, 948
17631, 949
17694, 950
17695, 951
17701, 952
17703, 953
17714, 954
17735, 955
17736, 956
17776, 957
17803, 958
17880, 959
17895, 960
17940, 961
17941, 962
17959, 963
17964, 964
17969, 965
17971, 966
18015, 967
18035, 968
18039, 969
18042, 970
18061, 971
18069, 972
18070, 973
18088, 974
18096, 975
18116, 976
18133, 977
18154, 978
18174, 979
18199, 980
18238, 981
18258, 982
18259, 983
18260, 984
18282, 985
18303, 986
18304, 987
18321, 988
18323, 989
18337, 990
18346, 991
18358, 992
18367, 993
18390, 994
18421, 995
18422, 996
18433, 997
18455, 998
18466, 999
18479, 1000
18500, 1001
18506, 1002
18522, 1003
18530, 1004
18531, 1005
18542, 1006
18545, 1007
18552, 1008
18554, 1009
18587, 1010
18610, 1011
18622, 1012
18625, 1013
18632, 1014
18660, 1015
18696, 1016
18718, 1017
18728, 1018
18730, 1019
18737, 1020
18817, 1021
18821, 1022
18829, 1023
18871, 1024
18886, 1025
18905, 1026
18922, 1027
18945, 1028
18986, 1029
18998, 1030
19013, 1031
19018, 1032
19034, 1033
19055, 1034
19084, 1035
19093, 1036
19133, 1037
19153, 1038
19177, 1039
19182, 1040
19191, 1041
19229, 1042
19230, 1043
19238, 1044
19270, 1045
19271, 1046
19278, 1047
19297, 1048
19326, 1049
19331, 1050
19350, 1051
19370, 1052
19372, 1053
19396, 1054
19399, 1055
19437, 1056
19440, 1057
19474, 1058
19480, 1059
19482, 1060
19489, 1061
19493, 1062
19504, 1063
19524, 1064
19545, 1065
19566, 1066
19584, 1067
19601, 1068
19609, 1069
19630, 1070
19641, 1071
19678, 1072
19684, 1073
19716, 1074
19740, 1075
19752, 1076
19762, 1077
19766, 1078
19780, 1079
19797, 1080
19805, 1081
19807, 1082
19880, 1083
19899, 1084
19906, 1085
19936, 1086
19944, 1087
19971, 1088
19972, 1089
19992, 1090
20002, 1091
20003, 1092
20013, 1093
20031, 1094
20052, 1095
20076, 1096
20087, 1097
20106, 1098
20120, 1099
20137, 1100
20141, 1101
20150, 1102
20162, 1103
20164, 1104
20170, 1105
20184, 1106
20199, 1107
20219, 1108
20234, 1109
20249, 1110
20281, 1111
20288, 1112
20289, 1113
20336, 1114
20385, 1115
20425, 1116
20435, 1117
20440, 1118
20480, 1119
20520, 1120
20574, 1121
20579, 1122
20619, 1123
20636, 1124
20643, 1125
20667, 1126
20703, 1127
20704, 1128
20720, 1129
20724, 1130
20725, 1131
20755, 1132
20780, 1133
20808, 1134
20809, 1135
20826, 1136
20831, 1137
20832, 1138
20866, 1139
20895, 1140
20934, 1141
20937, 1142
20958, 1143
20987, 1144
20994, 1145
21012, 1146
21032, 1147
21068, 1148
21107, 1149
21216, 1150
21221, 1151
21224, 1152
21234, 1153
21257, 1154
21280, 1155
21291, 1156
21323, 1157
21383, 1158
21405, 1159
21406, 1160
21441, 1161
21443, 1162
21459, 1163
21471, 1164
21492, 1165
21493, 1166
21512, 1167
21532, 1168
21547, 1169
21561, 1170
21614, 1171
21615, 1172
21635, 1173
21655, 1174
21658, 1175
21677, 1176
21683, 1177
21731, 1178
21739, 1179
21740, 1180
21782, 1181
21786, 1182
21804, 1183
21805, 1184
21815, 1185
21817, 1186
21836, 1187
21839, 1188
21844, 1189
21848, 1190
21861, 1191
21870, 1192
21871, 1193
21884, 1194
21894, 1195
21914, 1196
21916, 1197
21957, 1198
21979, 1199
22043, 1200
22047, 1201
22052, 1202
22065, 1203
22084, 1204
22093, 1205
22109, 1206
22125, 1207
22130, 1208
22131, 1209
22132, 1210
22138, 1211
22160, 1212
22182, 1213
22216, 1214
22219, 1215
22220, 1216
22259, 1217
22263, 1218
22275, 1219
22276, 1220
22278, 1221
22299, 1222
22302, 1223
22350, 1224
22351, 1225
22363, 1226
22380, 1227
22385, 1228
22415, 1229
22424, 1230
22425, 1231
22426, 1232
22437, 1233
22446, 1234
22490, 1235
22504, 1236
22568, 1237
22579, 1238
22591, 1239
22614, 1240
22621, 1241
22662, 1242
22682, 1243
22683, 1244
22688, 1245
22705, 1246
22749, 1247
22766, 1248
22769, 1249
22785, 1250
22795, 1251
22796, 1252
22833, 1253
22899, 1254
22971, 1255
22981, 1256
22991, 1257
23004, 1258
23011, 1259
23023, 1260
23039, 1261
23043, 1262
23069, 1263
23116, 1264
23120, 1265
23125, 1266
23126, 1267
23161, 1268
23170, 1269
23186, 1270
23193, 1271
23212, 1272
23213, 1273
23233, 1274
23234, 1275
23248, 1276
23257, 1277
23258, 1278
23270, 1279
23297, 1280
23306, 1281
23319, 1282
23335, 1283
23343, 1284
23348, 1285
23349, 1286
23381, 1287
23411, 1288
23412, 1289
23443, 1290
23447, 1291
23482, 1292
23502, 1293
23511, 1294
23522, 1295
23524, 1296
23528, 1297
23542, 1298
23567, 1299
23589, 1300
23611, 1301
23620, 1302
23632, 1303
23636, 1304
23643, 1305
23654, 1306
23670, 1307
23713, 1308
23736, 1309
23783, 1310
23821, 1311
23861, 1312
23904, 1313
23905, 1314
23906, 1315
23913, 1316
23919, 1317
23927, 1318
23948, 1319
23972, 1320
23988, 1321
24032, 1322
24036, 1323
24041, 1324
24093, 1325
24113, 1326
24116, 1327
24132, 1328
24134, 1329
24144, 1330
24148, 1331
24154, 1332
24155, 1333
24175, 1334
24194, 1335
24257, 1336
24263, 1337
24272, 1338
24274, 1339
24281, 1340
24301, 1341
24347, 1342
24364, 1343
24393, 1344
24405, 1345
24420, 1346
24483, 1347
24484, 1348
24505, 1349
24518, 1350
24545, 1351
24558, 1352
24567, 1353
24568, 1354
24569, 1355
24594, 1356
24596, 1357
24601, 1358
24658, 1359
24674, 1360
24680, 1361
24703, 1362
24704, 1363
24716, 1364
24754, 1365
24756, 1366
24757, 1367
24772, 1368
24776, 1369
24785, 1370
24814, 1371
24836, 1372
24877, 1373
24900, 1374
24922, 1375
24935, 1376
24956, 1377
24966, 1378
25013, 1379
25016, 1380
25045, 1381
25059, 1382
25063, 1383
25066, 1384
25076, 1385
25079, 1386
25134, 1387
25138, 1388
25139, 1389
25140, 1390
25147, 1391
25149, 1392
25169, 1393
25178, 1394
25189, 1395
25194, 1396
25207, 1397
25227, 1398
25252, 1399
25257, 1400
25272, 1401
25285, 1402
25286, 1403
25323, 1404
25338, 1405
25353, 1406
25371, 1407
25380, 1408
25403, 1409
25465, 1410
25472, 1411
25474, 1412
25505, 1413
25508, 1414
25528, 1415
25550, 1416
25562, 1417
25568, 1418
25570, 1419
25575, 1420
25613, 1421
25631, 1422
25635, 1423
25653, 1424
25696, 1425
25731, 1426
25737, 1427
25757, 1428
25762, 1429
25823, 1430
25837, 1431
25839, 1432
25846, 1433
25876, 1434
25891, 1435
25910, 1436
25912, 1437
25916, 1438
25933, 1439
25983, 1440
26048, 1441
26050, 1442
26089, 1443
26100, 1444
26117, 1445
26128, 1446
26146, 1447
26164, 1448
26176, 1449
26188, 1450
26191, 1451
26208, 1452
26209, 1453
26225, 1454
26232, 1455
26253, 1456
26254, 1457
26255, 1458
26295, 1459
26305, 1460
26307, 1461
26308, 1462
26364, 1463
26406, 1464
26412, 1465
26419, 1466
26422, 1467
26451, 1468
26454, 1469
26464, 1470
26466, 1471
26476, 1472
26495, 1473
26534, 1474
26568, 1475
26577, 1476
26578, 1477
26579, 1478
26599, 1479
26619, 1480
26629, 1481
26660, 1482
26681, 1483
26720, 1484
26725, 1485
26746, 1486
26748, 1487
26785, 1488
26807, 1489
26837, 1490
26838, 1491
26870, 1492
26879, 1493
26893, 1494
26918, 1495
26928, 1496
26930, 1497
26945, 1498
26958, 1499
26993, 1500
26995, 1501
27058, 1502
27059, 1503
27061, 1504
27077, 1505
27103, 1506
27105, 1507
27125, 1508
27145, 1509
27169, 1510
27187, 1511
27192, 1512
27209, 1513
